,price
354,165
355,125
356,130
357,65
358,123
359,67
360,50
361,130
362,100
363,212
364,190
365,599
366,249
367,70
368,100
369,60
370,135
371,175
372,120
373,169
374,165
375,90
376,225
377,95
378,55
379,85
380,199
381,211
382,145
383,65
384,99
385,110
386,80
387,150
388,110
389,290
390,87
391,190
392,200
393,165
394,110
395,395
396,99
397,39
398,189
399,85
400,260
401,122
402,165
403,97
404,170
405,125
406,130
407,225
408,50
409,170
410,132
411,250
412,141
413,64
414,249
415,79
416,185
417,120
418,495
419,375
420,175
421,150
422,259
423,96
424,145
425,200
426,95
427,250
428,295
429,175
430,451
431,165
432,250
433,77
434,250
435,129
436,98
437,150
438,95
439,55
440,300
441,42
442,125
443,175
444,75
445,255
446,72
447,165
448,165
449,75
450,130
451,139
452,88
453,80
454,150
455,200
456,200
457,42
458,90
459,295
460,450
461,130
462,89
463,198
464,99
465,46
466,140
467,500
468,75
469,33
470,250
471,60
472,75
473,350
474,205
475,219
476,60
477,185
478,190
479,105
480,250
481,175
482,65
483,75
484,37
485,85
486,106
487,79
488,85
489,170
490,115
491,89
492,49
493,91
494,400
495,150
496,2000
497,97
498,100
499,179
500,500
501,429
502,189
503,120
504,300
505,107
506,95
507,199
508,120
509,199
510,125
511,70
512,75
513,100
514,99
515,250
516,350
517,170
518,165
519,99
520,255
521,169
522,99
523,169
524,160
525,215
526,130
527,110
528,150
529,65
530,75
531,149
532,89
533,50
534,43
535,42
536,85
537,139
538,105
539,265
540,149
541,68
542,99
543,75
544,100
545,90
546,160
547,190
548,67
549,190
550,248
551,100
552,95
553,150
554,145
555,41
556,120
557,50
558,157
559,195
560,70
561,185
562,145
563,50
564,185
565,250
566,80
567,230
568,100
569,40
570,200
571,80
572,79
573,95
574,300
575,100
576,80
577,110
578,172
579,199
580,199
581,100
582,55
583,75
584,146
585,250
586,116
587,150
588,120
589,199
590,150
591,69
592,300
593,230
594,125
595,79
596,130
597,239
598,75
599,220
600,80
601,288
602,135
603,225
604,110
605,100
606,130
607,89
608,200
609,80
610,50
611,135
612,90
613,270
614,110
615,145
616,179
617,55
618,110
619,325
620,75
621,300
622,130
623,190
624,200
625,180
626,350
627,160
628,195
629,241
630,300
631,75
632,100
633,399
634,85
635,80
636,55
637,438
638,110
639,200
640,279
641,137
642,280
643,199
644,71
645,42
646,180
647,226
648,85
649,135
650,79
651,154
652,199
653,700
654,246
655,125
656,100
657,295
658,150
659,119
660,125
661,400
662,850
663,129
664,140
665,115
666,200
667,96
668,199
669,199
670,199
671,69
672,185
673,81
674,199
675,199
676,199
677,199
678,199
679,349
680,249
681,299
682,179
683,54
684,599
685,110
686,220
687,89
688,170
689,495
690,80
691,760
692,98
693,125
694,48
695,64
696,154
697,139
698,75
699,325
700,195
701,58
702,250
703,50
704,125
705,70
706,189
707,130
708,145
709,101
710,95
711,375
712,153
713,92
714,80
715,300
716,145
717,88
718,155
719,185
720,73
721,225
722,85
723,99
724,48
725,200
726,485
727,310
728,110
729,109
730,167
731,147
732,220
733,195
734,199
735,65
736,55
737,50
738,60
739,99
740,130
741,290
742,350
743,50
744,96
745,45
746,85
747,34
748,250
749,190
750,75
751,93
752,60
753,65
754,125
755,300
756,150
757,56
758,299
759,60
760,88
761,60
762,1300
763,200
764,99
765,110
766,135
767,110
768,165
769,127
770,402
771,85
772,75
773,139
774,70
775,50
776,30
777,250
778,64
779,300
780,800
781,100
782,250
783,200
784,140
785,130
786,90
787,90
788,97
789,91
790,125
791,75
792,180
793,300
794,100
795,175
796,65
797,240
798,300
799,385
800,47
801,110
802,75
803,100
804,165
805,300
806,140
807,120
808,175
809,275
810,179
811,189
812,219
813,450
814,249
815,65
816,250
817,139
818,209
819,120
820,70
821,90
822,199
823,50
824,100
825,110
826,157
827,199
828,192
829,199
830,150
831,199
832,199
833,199
834,105
835,135
836,199
837,125
838,60
839,85
840,300
841,75
842,55
843,44
844,55
845,30
846,35
847,70
848,130
849,52
850,75
851,190
852,250
853,100
854,130
855,140
856,75
857,150
858,90
859,295
860,150
861,180
862,135
863,65
864,99
865,149
866,59
867,75
868,75
869,75
870,109
871,225
872,86
873,52
874,100
875,99
876,89
877,135
878,199
879,89
880,110
881,120
882,59
883,49
884,79
885,135
886,185
887,225
888,245
889,115
890,325
891,95
892,120
893,499
894,75
895,109
896,160
897,219
898,159
899,180
900,150
901,106
902,299
903,179
904,165
905,500
906,250
907,87
908,79
909,75
910,200
911,80
912,115
913,115
914,120
915,125
916,387
917,95
918,99
919,121
920,350
921,75
922,95
923,89
924,195
925,160
926,70
927,100
928,140
929,189
930,160
931,178
932,145
933,125
934,265
935,77
936,60
937,129
938,199
939,92
940,185
941,110
942,65
943,135
944,115
945,175
946,3000
947,72
948,80
949,125
950,120
951,94
952,56
953,549
954,190
955,129
956,85
957,20
958,145
959,200
960,125
961,50
962,160
963,180
964,100
965,70
966,120
967,110
968,105
969,250
970,74
971,165
972,99
973,125
974,75
975,45
976,159
977,45
978,104
979,225
980,100
981,90
982,75
983,350
984,135
985,125
986,225
987,85
988,200
989,250
990,90
991,130
992,90
993,298
994,300
995,125
996,125
997,145
998,147
999,123
1000,88
1001,215
1002,225
1003,269
1004,145
1005,75
1006,145
1007,229
1008,300
1009,100
1010,75
1011,225
1012,120
1013,160
1014,125
1015,95
1016,119
1017,275
1018,160
1019,500
1020,175
1021,87
1022,160
1023,125
1024,90
1025,200
1026,250
1027,99
1028,325
1029,99
1030,325
1031,129
1032,130
1033,190
1034,55
1035,60
1036,250
1037,275
1038,50
1039,125
1040,150
1041,70
1042,138
1043,265
1044,145
1045,151
1046,208
1047,200
1048,110
1049,58
1050,55
1051,105
1052,350
1053,150
1054,55
1055,299
1056,77
1057,125
1058,395
1059,189
1060,49
1061,90
1062,100
1063,299
1064,75
1065,69
1066,90
1067,94
1068,80
1069,100
1070,39
1071,250
1072,55
1073,110
1074,200
1075,142
1076,70
1077,260
1078,225
1079,59
1080,65
1081,99
1082,239
1083,50
1084,65
1085,139
1086,174
1087,315
1088,75
1089,210
1090,55
1091,229
1092,150
1093,129
1094,100
1095,200
1096,89
1097,250
1098,65
1099,68
1100,235
1101,100
1102,311
1103,39
1104,100
1105,1300
1106,210
1107,55
1108,65
1109,165
1110,89
1111,500
1112,145
1113,110
1114,180
1115,115
1116,82
1117,70
1118,155
1119,117
1120,100
1121,89
1122,89
1123,99
1124,155
1125,85
1126,80
1127,135
1128,150
1129,380
1130,450
1131,145
1132,80
1133,225
1134,99
1135,125
1136,80
1137,100
1138,55
1139,328
1140,142
1141,350
1142,300
1143,105
1144,125
1145,225
1146,92
1147,185
1148,226
1149,50
1150,80
1151,200
1152,99
1153,68
1154,102
1155,220
1156,199
1157,165
1158,150
1159,385
1160,75
1161,499
1162,85
1163,160
1164,249
1165,80
1166,120
1167,35
1168,169
1169,220
1170,85
1171,300
1172,79
1173,90
1174,99
1175,50
1176,46
1177,325
1178,68
1179,198
1180,100
1181,175
1182,130
1183,180
1184,209
1185,150
1186,104
1187,175
1188,80
1189,68
1190,72
1191,107
1192,150
1193,45
1194,49
1195,349
1196,185
1197,145
1198,96
1199,120
1200,160
1201,800
1202,349
1203,350
1204,125
1205,350
1206,150
1207,180
1208,200
1209,99
1210,130
1211,150
1212,90
1213,95
1214,70
1215,82
1216,250
1217,90
1218,75
1219,160
1220,115
1221,150
1222,89
1223,69
1224,170
1225,375
1226,118
1227,135
1228,250
1229,200
1230,150
1231,50
1232,60
1233,100
1234,265
1235,90
1236,175
1237,36
1238,250
1239,220
1240,93
1241,275
1242,109
1243,450
1244,165
1245,80
1246,295
1247,280
1248,300
1249,99
1250,175
1251,225
1252,230
1253,90
1254,102
1255,59
1256,195
1257,150
1258,170
1259,217
1260,185
1261,58
1262,189
1263,88
1264,195
1265,110
1266,120
1267,79
1268,110
1269,200
1270,69
1271,55
1272,135
1273,500
1274,90
1275,135
1276,199
1277,90
1278,160
1279,65
1280,210
1281,399
1282,300
1283,185
1284,220
1285,121
1286,120
1287,152
1288,250
1289,99
1290,104
1291,120
1292,295
1293,90
1294,197
1295,145
1296,90
1297,125
1298,190
1299,76
1300,50
1301,107
1302,80
1303,150
1304,110
1305,115
1306,151
1307,130
1308,180
1309,95
1310,79
1311,60
1312,133
1313,120
1314,120
1315,700
1316,165
1317,165
1318,54
1319,100
1320,80
1321,96
1322,159
1323,50
1324,75
1325,155
1326,150
1327,92
1328,75
1329,69
1330,115
1331,120
1332,120
1333,215
1334,195
1335,175
1336,80
1337,48
1338,200
1339,275
1340,72
1341,199
1342,250
1343,75
1344,125
1345,229
1346,175
1347,140
1348,54
1349,75
1350,110
1351,165
1352,55
1353,55
1354,300
1355,275
1356,331
1357,77
1358,60
1359,129
1360,100
1361,120
1362,500
1363,179
1364,149
1365,180
1366,100
1367,180
1368,128
1369,260
1370,55
1371,65
1372,200
1373,249
1374,300
1375,120
1376,120
1377,125
1378,99
1379,115
1380,275
1381,198
1382,199
1383,45
1384,125
1385,80
1386,130
1387,35
1388,90
1389,250
1390,115
1391,200
1392,64
1393,65
1394,175
1395,90
1396,85
1397,150
1398,50
1399,136
1400,400
1401,125
1402,165
1403,180
1404,105
1405,148
1406,120
1407,99
1408,175
1409,85
1410,80
1411,119
1412,89
1413,195
1414,1000
1415,225
1416,165
1417,60
1418,165
1419,80
1420,52
1421,160
1422,110
1423,60
1424,299
1425,200
1426,700
1427,120
1428,65
1429,263
1430,120
1431,150
1432,60
1433,350
1434,71
1435,433
1436,79
1437,140
1438,61
1439,100
1440,250
1441,145
1442,45
1443,73
1444,150
1445,234
1446,150
1447,65
1448,195
1449,135
1450,90
1451,595
1452,109
1453,200
1454,90
1455,100
1456,85
1457,87
1458,95
1459,349
1460,99
1461,160
1462,149
1463,60
1464,285
1465,72
1466,150
1467,200
1468,79
1469,197
1470,75
1471,127
1472,110
1473,69
1474,100
1475,99
1476,139
1477,113
1478,250
1479,295
1480,2000
1481,220
1482,75
1483,100
1484,199
1485,200
1486,140
1487,50
1488,45
1489,109
1490,108
1491,42
1492,70
1493,141
1494,355
1495,80
1496,250
1497,75
1498,88
1499,65
1500,58
1501,75
1502,100
1503,167
1504,65
1505,125
1506,95
1507,54
1508,89
1509,92
1510,199
1511,179
1512,65
1513,55
1514,129
1515,134
1516,35
1517,250
1518,249
1519,62
1520,119
1521,179
1522,220
1523,198
1524,155
1525,199
1526,95
1527,550
1528,60
1529,380
1530,84
1531,165
1532,105
1533,134
1534,68
1535,73
1536,150
1537,100
1538,75
1539,120
1540,85
1541,55
1542,95
1543,72
1544,250
1545,69
1546,78
1547,220
1548,230
1549,150
1550,80
1551,150
1552,150
1553,900
1554,130
1555,70
1556,120
1557,75
1558,100
1559,69
1560,399
1561,299
1562,100
1563,68
1564,103
1565,175
1566,330
1567,425
1568,240
1569,75
1570,210
1571,175
1572,85
1573,120
1574,120
1575,75
1576,495
1577,65
1578,39
1579,93
1580,146
1581,120
1582,79
1583,100
1584,120
1585,150
1586,144
1587,60
1588,350
1589,85
1590,195
1591,200
1592,169
1593,95
1594,375
1595,168
1596,50
1597,129
1598,245
1599,199
1600,199
1601,99
1602,160
1603,65
1604,70
1605,80
1606,100
1607,70
1608,200
1609,66
1610,200
1611,95
1612,140
1613,65
1614,106
1615,155
1616,249
1617,120
1618,52
1619,75
1620,195
1621,625
1622,171
1623,185
1624,55
1625,50
1626,120
1627,210
1628,133
1629,73
1630,350
1631,259
1632,97
1633,199
1634,125
1635,100
1636,39
1637,125
1638,150
1639,170
1640,199
1641,80
1642,125
1643,155
1644,120
1645,220
1646,90
1647,61
1648,179
1649,108
1650,575
1651,99
1652,175
1653,110
1654,250
1655,100
1656,200
1657,89
1658,400
1659,149
1660,500
1661,95
1662,125
1663,80
1664,105
1665,39
1666,49
1667,187
1668,55
1669,250
1670,125
1671,100
1672,175
1673,50
1674,133
1675,155
1676,140
1677,80
1678,103
1679,600
1680,70
1681,75
1682,55
1683,50
1684,390
1685,82
1686,52
1687,115
1688,299
1689,175
1690,100
1691,95
1692,55
1693,45
1694,165
1695,105
1696,200
1697,65
1698,100
1699,312
1700,195
1701,100
1702,155
1703,250
1704,165
1705,120
1706,38
1707,200
1708,90
1709,85
1710,55
1711,350
1712,59
1713,280
1714,69
1715,230
1716,200
1717,150
1718,75
1719,120
1720,140
1721,200
1722,225
1723,145
1724,60
1725,119
1726,189
1727,190
1728,69
1729,70
1730,155
1731,149
1732,160
1733,100
1734,220
1735,85
1736,135
1737,45
1738,225
1739,100
1740,145
1741,210
1742,195
1743,95
1744,140
1745,95
1746,295
1747,80
1748,250
1749,60
1750,150
1751,159
1752,225
1753,78
1754,210
1755,60
1756,220
1757,199
1758,225
1759,350
1760,65
1761,225
1762,82
1763,75
1764,60
1765,105
1766,115
1767,150
1768,65
1769,150
1770,101
1771,130
1772,165
1773,175
1774,115
1775,128
1776,116
1777,192
1778,150
1779,163
1780,40
1781,200
1782,158
1783,115
1784,85
1785,173
1786,250
1787,465
1788,275
1789,195
1790,63
1791,36
1792,130
1793,200
1794,85
1795,150
1796,45
1797,45
1798,79
1799,149
1800,200
1801,85
1802,60
1803,139
1804,160
1805,95
1806,80
1807,250
1808,349
1809,165
1810,119
1811,240
1812,79
1813,215
1814,49
1815,190
1816,99
1817,68
1818,185
1819,225
1820,81
1821,199
1822,55
1823,340
1824,135
1825,85
1826,65
1827,100
1828,109
1829,290
1830,35
1831,148
1832,57
1833,150
1834,60
1835,60
1836,45
1837,60
1838,125
1839,60
1840,75
1841,121
1842,89
1843,300
1844,110
1845,99
1846,170
1847,90
1848,179
1849,80
1850,65
1851,69
1852,42
1853,70
1854,155
1855,135
1856,120
1857,135
1858,47
1859,69
1860,100
1861,51
1862,4000
1863,65
1864,60
1865,70
1866,130
1867,70
1868,200
1869,150
1870,130
1871,68
1872,79
1873,149
1874,120
1875,250
1876,175
1877,40
1878,55
1879,99
1880,500
1881,240
1882,400
1883,280
1884,235
1885,130
1886,96
1887,63
1888,150
1889,200
1890,90
1891,269
1892,80
1893,80
1894,400
1895,349
1896,495
1897,85
1898,85
1899,999
1900,109
1901,175
1902,150
1903,80
1904,150
1905,175
1906,107
1907,80
1908,80
1909,75
1910,800
1911,130
1912,250
1913,260
1914,36
1915,140
1916,145
1917,120
1918,75
1919,60
1920,69
1921,95
1922,300
1923,131
1924,120
1925,100
1926,100
1927,190
1928,160
1929,60
1930,75
1931,45
1932,65
1933,120
1934,80
1935,100
1936,250
1937,235
1938,85
1939,195
1940,145
1941,55
1942,289
1943,120
1944,149
1945,100
1946,166
1947,99
1948,150
1949,44
1950,195
1951,95
1952,100
1953,60
1954,62
1955,99
1956,90
1957,88
1958,125
1959,74
1960,176
1961,62
1962,51
1963,249
1964,200
1965,30
1966,240
1967,100
1968,125
1969,149
1970,170
1971,150
1972,125
1973,68
1974,90
1975,65
1976,50
1977,65
1978,200
1979,65
1980,58
1981,65
1982,185
1983,115
1984,100
1985,200
1986,115
1987,140
1988,62
1989,95
1990,100
1991,113
1992,108
1993,62
1994,95
1995,200
1996,165
1997,60
1998,80
1999,100
2000,110
2001,50
2002,79
2003,140
2004,339
2005,55
2006,81
2007,191
2008,139
2009,500
2010,120
2011,60
2012,70
2013,295
2014,100
2015,49
2016,150
2017,120
2018,2500
2019,175
2020,107
2021,98
2022,47
2023,100
2024,170
2025,150
2026,63
2027,110
2028,275
2029,329
2030,49
2031,49
2032,165
2033,160
2034,38
2035,170
2036,105
2037,50
2038,100
2039,100
2040,890
2041,160
2042,145
2043,51
2044,150
2045,180
2046,225
2047,250
2048,56
2049,70
2050,70
2051,125
2052,399
2053,157
2054,145
2055,75
2056,280
2057,220
2058,190
2059,200
2060,77
2061,35
2062,30
2063,199
2064,140
2065,124
2066,295
2067,160
2068,349
2069,98
2070,76
2071,230
2072,60
2073,40
2074,118
2075,125
2076,195
2077,85
2078,55
2079,155
2080,99
2081,140
2082,85
2083,75
2084,53
2085,150
2086,179
2087,135
2088,200
2089,200
2090,100
2091,134
2092,100
2093,50
2094,50
2095,400
2096,115
2097,235
2098,125
2099,250
2100,650
2101,97
2102,189
2103,100
2104,49
2105,84
2106,165
2107,87
2108,120
2109,195
2110,89
2111,62
2112,130
2113,75
2114,64
2115,150
2116,100
2117,190
2118,98
2119,150
2120,99
2121,100
2122,159
2123,70
2124,91
2125,325
2126,149
2127,200
2128,169
2129,249
2130,85
2131,81
2132,199
2133,88
2134,170
2135,100
2136,130
2137,135
2138,65
2139,100
2140,165
2141,78
2142,350
2143,160
2144,225
2145,170
2146,349
2147,65
2148,420
2149,119
2150,100
2151,97
2152,191
2153,187
2154,172
2155,950
2156,275
2157,99
2158,334
2159,60
2160,145
2161,75
2162,130
2163,575
2164,295
2165,300
2166,120
2167,50
2168,56
2169,191
2170,135
2171,195
2172,75
2173,99
2174,350
2175,40
2176,130
2177,225
2178,225
2179,38
2180,200
2181,550
2182,235
2183,75
2184,249
2185,120
2186,50
2187,85
2188,78
2189,110
2190,50
2191,52
2192,63
2193,105
2194,75
2195,69
2196,165
2197,125
2198,85
2199,499
2200,60
2201,95
2202,105
2203,55
2204,289
2205,70
2206,275
2207,130
2208,125
2209,150
2210,46
2211,100
2212,90
2213,90
2214,220
2215,1000
2216,130
2217,499
2218,45
2219,70
2220,59
2221,160
2222,195
2223,96
2224,75
2225,195
2226,200
2227,139
2228,190
2229,95
2230,350
2231,80
2232,120
2233,42
2234,116
2235,60
2236,1395
2237,425
2238,225
2239,159
2240,221
2241,150
2242,199
2243,70
2244,110
2245,60
2246,50
2247,120
2248,395
2249,60
2250,145
2251,83
2252,100
2253,200
2254,50
2255,70
2256,175
2257,149
2258,125
2259,58
2260,160
2261,150
2262,131
2263,250
2264,70
2265,149
2266,109
2267,185
2268,138
2269,150
2270,80
2271,75
2272,300
2273,176
2274,47
2275,40
2276,60
2277,89
2278,75
2279,110
2280,85
2281,72
2282,190
2283,85
2284,325
2285,125
2286,200
2287,195
2288,175
2289,189
2290,182
2291,105
2292,240
2293,185
2294,160
2295,250
2296,650
2297,35
2298,85
2299,550
2300,80
2301,175
2302,95
2303,158
2304,85
2305,209
2306,150
2307,70
2308,73
2309,85
2310,95
2311,125
2312,89
2313,50
2314,75
2315,60
2316,45
2317,130
2318,70
2319,125
2320,140
2321,120
2322,99
2323,300
2324,40
2325,47
2326,115
2327,90
2328,199
2329,110
2330,100
2331,90
2332,40
2333,133
2334,130
2335,79
2336,200
2337,175
2338,200
2339,200
2340,300
2341,135
2342,189
2343,133
2344,65
2345,179
2346,90
2347,49
2348,140
2349,115
2350,190
2351,99
2352,110
2353,109
2354,64
2355,1000
2356,750
2357,175
2358,47
2359,60
2360,48
2361,100
2362,105
2363,138
2364,129
2365,170
2366,139
2367,94
2368,115
2369,499
2370,79
2371,200
2372,152
2373,50
2374,212
2375,108
2376,89
2377,89
2378,65
2379,239
2380,99
2381,80
2382,125
2383,55
2384,160
2385,100
2386,1000
2387,225
2388,35
2389,275
2390,200
2391,190
2392,117
2393,80
2394,99
2395,70
2396,44
2397,125
2398,130
2399,130
2400,125
2401,199
2402,89
2403,155
2404,60
2405,248
2406,85
2407,85
2408,80
2409,79
2410,55
2411,65
2412,150
2413,285
2414,119
2415,137
2416,190
2417,80
2418,120
2419,95
2420,90
2421,75
2422,50
2423,103
2424,125
2425,150
2426,50
2427,148
2428,120
2429,99
2430,69
2431,200
2432,55
2433,175
2434,240
2435,95
2436,150
2437,150
2438,179
2439,105
2440,84
2441,90
2442,53
2443,41
2444,135
2445,84
2446,290
2447,35
2448,110
2449,350
2450,60
2451,220
2452,275
2453,142
2454,38
2455,100
2456,200
2457,225
2458,135
2459,72
2460,59
2461,350
2462,75
2463,70
2464,99
2465,42
2466,60
2467,125
2468,99
2469,99
2470,165
2471,250
2472,135
2473,58
2474,250
2475,95
2476,125
2477,147
2478,300
2479,350
2480,102
2481,95
2482,65
2483,350
2484,595
2485,165
2486,181
2487,110
2488,65
2489,155
2490,50
2491,85
2492,120
2493,75
2494,55
2495,200
2496,75
2497,150
2498,60
2499,150
2500,240
2501,150
2502,200
2503,269
2504,112
2505,250
2506,390
2507,350
2508,80
2509,295
2510,160
2511,399
2512,150
2513,60
2514,219
2515,119
2516,190
2517,140
2518,125
2519,144
2520,1500
2521,100
2522,115
2523,1899
2524,110
2525,140
2526,94
2527,50
2528,131
2529,175
2530,299
2531,145
2532,145
2533,175
2534,109
2535,150
2536,133
2537,399
2538,48
2539,75
2540,55
2541,75
2542,465
2543,151
2544,199
2545,45
2546,160
2547,36
2548,235
2549,225
2550,300
2551,35
2552,80
2553,79
2554,82
2555,82
2556,215
2557,147
2558,145
2559,65
2560,78
2561,120
2562,120
2563,95
2564,90
2565,95
2566,100
2567,350
2568,188
2569,80
2570,175
2571,495
2572,250
2573,115
2574,55
2575,93
2576,93
2577,199
2578,70
2579,125
2580,125
2581,169
2582,150
2583,61
2584,40
2585,150
2586,65
2587,90
2588,190
2589,79
2590,225
2591,185
2592,100
2593,85
2594,75
2595,85
2596,98
2597,262
2598,145
2599,280
2600,210
2601,70
2602,100
2603,250
2604,59
2605,199
2606,219
2607,100
2608,175
2609,220
2610,40
2611,120
2612,140
2613,105
2614,110
2615,131
2616,265
2617,54
2618,800
2619,53
2620,99
2621,65
2622,55
2623,120
2624,169
2625,180
2626,67
2627,111
2628,90
2629,259
2630,89
2631,129
2632,69
2633,75
2634,250
2635,120
2636,129
2637,199
2638,450
2639,217
2640,90
2641,350
2642,160
2643,45
2644,70
2645,260
2646,100
2647,125
2648,195
2649,58
2650,75
2651,200
2652,75
2653,95
2654,99
2655,275
2656,162
2657,200
2658,285
2659,120
2660,120
2661,210
2662,160
2663,110
2664,200
2665,138
2666,90
2667,45
2668,80
2669,70
2670,72
2671,95
2672,75
2673,70
2674,160
2675,29
2676,175
2677,75
2678,110
2679,175
2680,99
2681,100
2682,144
2683,171
2684,99
2685,270
2686,160
2687,65
2688,99
2689,125
2690,72
2691,300
2692,112
2693,100
2694,60
2695,232
2696,138
2697,140
2698,5000
2699,168
2700,100
2701,150
2702,95
2703,175
2704,220
2705,178
2706,85
2707,35
2708,129
2709,55
2710,69
2711,68
2712,69
2713,300
2714,175
2715,59
2716,59
2717,169
2718,120
2719,155
2720,165
2721,60
2722,190
2723,150
2724,150
2725,120
2726,349
2727,59
2728,99
2729,59
2730,110
2731,73
2732,179
2733,102
2734,62
2735,140
2736,300
2737,299
2738,104
2739,98
2740,49
2741,96
2742,80
2743,89
2744,125
2745,345
2746,150
2747,100
2748,120
2749,149
2750,145
2751,390
2752,60
2753,190
2754,80
2755,55
2756,275
2757,250
2758,100
2759,600
2760,66
2761,65
2762,220
2763,159
2764,70
2765,49
2766,47
2767,299
2768,79
2769,115
2770,229
2771,115
2772,1100
2773,165
2774,67
2775,68
2776,85
2777,170
2778,95
2779,45
2780,178
2781,140
2782,149
2783,89
2784,108
2785,138
2786,115
2787,69
2788,269
2789,160
2790,150
2791,121
2792,95
2793,99
2794,40
2795,89
2796,50
2797,55
2798,224
2799,120
2800,59
2801,135
2802,175
2803,250
2804,156
2805,75
2806,79
2807,104
2808,280
2809,80
2810,136
2811,550
2812,190
2813,199
2814,75
2815,100
2816,125
2817,75
2818,99
2819,35
2820,51
2821,188
2822,90
2823,279
2824,350
2825,125
2826,85
2827,48
2828,56
2829,84
2830,155
2831,250
2832,300
2833,140
2834,120
2835,99
2836,240
2837,72
2838,45
2839,250
2840,100
2841,175
2842,200
2843,59
2844,420
2845,120
2846,295
2847,200
2848,48
2849,99
2850,129
2851,160
2852,142
2853,120
2854,400
2855,130
2856,85
2857,600
2858,69
2859,150
2860,10
2861,87
2862,249
2863,65
2864,175
2865,79
2866,194
2867,150
2868,241
2869,80
2870,120
2871,155
2872,150
2873,140
2874,90
2875,150
2876,135
2877,140
2878,130
2879,150
2880,115
2881,130
2882,380
2883,115
2884,125
2885,65
2886,110
2887,31
2888,135
2889,200
2890,212
2891,40
2892,80
2893,95
2894,185
2895,100
2896,1200
2897,149
2898,139
2899,226
2900,74
2901,195
2902,104
2903,275
2904,310
2905,145
2906,75
2907,99
2908,250
2909,104
2910,250
2911,150
2912,195
2913,350
2914,75
2915,80
2916,96
2917,200
2918,90
2919,79
2920,220
2921,224
2922,35
2923,70
2924,85
2925,110
2926,65
2927,200
2928,249
2929,62
2930,50
2931,62
2932,50
2933,55
2934,71
2935,75
2936,115
2937,82
2938,75
2939,60
2940,200
2941,90
2942,215
2943,100
2944,38
2945,159
2946,64
2947,125
2948,120
2949,76
2950,175
2951,110
2952,75
2953,80
2954,110
2955,89
2956,110
2957,96
2958,75
2959,185
2960,49
2961,440
2962,220
2963,99
2964,85
2965,98
2966,84
2967,65
2968,160
2969,115
2970,59
2971,119
2972,120
2973,439
2974,99
2975,199
2976,99
2977,195
2978,180
2979,100
2980,115
2981,115
2982,180
2983,45
2984,300
2985,90
2986,95
2987,140
2988,123
2989,200
2990,100
2991,250
2992,85
2993,100
2994,109
